revision,system,committer_date_readable,committer_date_unix,source_lines_of_code,architecture,binding-file,environment,extractor,kconfig-file,model-features,model-file,model-literals,model-time,model-variables
v2.5.46,linux,2002-11-04,1036450260,3545394,parisc,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=parisc|ARCH=parisc|SRCARCH=parisc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/parisc/Kconfig,2720,kconfigreader/linux/v2.5.46[parisc].model,51877,4404175619,3021
v2.5.46,linux,2002-11-04,1036450260,3545394,parisc,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=parisc|ARCH=parisc|SRCARCH=parisc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/parisc/Kconfig,1889,kmax/linux/v2.5.46[parisc].model,10623,14314518384,1797
v2.5.46,linux,2002-11-04,1036450260,3545394,ppc,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=ppc|ARCH=ppc|SRCARCH=ppc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/ppc/Kconfig,3338,kconfigreader/linux/v2.5.46[ppc].model,67712,4660368696,3732
v2.5.46,linux,2002-11-04,1036450260,3545394,ppc,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=ppc|ARCH=ppc|SRCARCH=ppc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/ppc/Kconfig,2362,kmax/linux/v2.5.46[ppc].model,14775,20557616714,2281
v2.5.46,linux,2002-11-04,1036450260,3545394,ppc64,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=ppc64|ARCH=ppc64|SRCARCH=ppc64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/ppc64/Kconfig,3133,kconfigreader/linux/v2.5.46[ppc64].model,63599,4817308520,3490
v2.5.46,linux,2002-11-04,1036450260,3545394,ppc64,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=ppc64|ARCH=ppc64|SRCARCH=ppc64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/ppc64/Kconfig,2171,kmax/linux/v2.5.46[ppc64].model,12739,16486446165,2082
v2.5.46,linux,2002-11-04,1036450260,3545394,s390,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=s390|ARCH=s390|SRCARCH=s390|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/s390/Kconfig,862,kconfigreader/linux/v2.5.46[s390].model,12906,2872838749,927
v2.5.46,linux,2002-11-04,1036450260,3545394,s390,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=s390|ARCH=s390|SRCARCH=s390|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/s390/Kconfig,610,kmax/linux/v2.5.46[s390].model,2621,4551498702,557
v2.5.46,linux,2002-11-04,1036450260,3545394,s390x,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=s390x|ARCH=s390x|SRCARCH=s390x|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/s390x/Kconfig,864,kconfigreader/linux/v2.5.46[s390x].model,12962,2740907000,930
v2.5.46,linux,2002-11-04,1036450260,3545394,s390x,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=s390x|ARCH=s390x|SRCARCH=s390x|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/s390x/Kconfig,610,kmax/linux/v2.5.46[s390x].model,2628,4529551269,559
